uavId,techId
UAV-001,TECH-01
UAV-002,TECH-02
UAV-003,TECH-03
UAV-004,TECH-04
UAV-005,TECH-05
UAV-006,TECH-01
UAV-007,TECH-02
UAV-008,TECH-03
UAV-009,TECH-04
UAV-010,TECH-05
UAV-011,TECH-01
UAV-012,TECH-02
UAV-013,TECH-03
UAV-014,TECH-04
UAV-015,TECH-05
UAV-016,TECH-01
UAV-017,TECH-02
UAV-018,TECH-03
UAV-019,TECH-04
UAV-020,TECH-05
UAV-021,TECH-01
UAV-022,TECH-02
UAV-023,TECH-03
UAV-024,TECH-04
UAV-025,TECH-05
UAV-026,TECH-01
UAV-027,TECH-02
UAV-028,TECH-03
UAV-029,TECH-04
UAV-030,TECH-05
UAV-031,TECH-01
UAV-032,TECH-02
UAV-033,TECH-03
UAV-034,TECH-04
UAV-035,TECH-05
UAV-036,TECH-01
UAV-037,TECH-02
UAV-038,TECH-03
UAV-039,TECH-04
UAV-040,TECH-05
UAV-041,TECH-01
UAV-042,TECH-02
UAV-043,TECH-03
UAV-044,TECH-04
UAV-045,TECH-05
UAV-046,TECH-01
UAV-047,TECH-02
UAV-048,TECH-03
UAV-049,TECH-04
UAV-050,TECH-05
